contract_number;client_id;phone_id;color_id;merchant_id;price;date_purch;qu_inst;inst
1;22285;1382096;20;1;2996;01.01.2018;6;500
2;113251;1480783;20;1;2147;01.01.2018;12;179
3;24556;1370038;20;1;2608;02.01.2018;12;218
4;95876;1464854;23;1;3857;10.01.2018;6;643
5;56744;1435957;20;1;6058;13.01.2018;12;505
6;25285;1383800;9;1;5245;21.01.2018;12;438
7;18415;1494314;9;1;1475;29.01.2018;12;123
8;106261;1683787;2;1;5451;07.02.2018;6;909
9;92474;1342641;12;1;3317;11.02.2018;12;277
10;73004;910794;9;1;4493;12.02.2018;6;749
11;47958;1383800;9;1;5296;19.02.2018;12;442
12;25278;1333355;23;1;4221;22.02.2018;6;704
13;66621;1500327;21;1;9072;22.02.2018;6;1512
14;84413;1683787;2;1;5516;22.02.2018;12;460
15;113318;1370038;12;1;2380;23.02.2018;6;397
16;63108;1382096;23;1;3389;25.02.2018;6;565
17;25823;1504686;17;1;5549;25.02.2018;12;463
18;34224;1504686;20;1;5674;26.02.2018;6;946
19;60105;1402377;20;1;3928;26.02.2018;12;328
20;76916;1464854;21;1;3758;26.02.2018;12;314
21;25960;910794;9;1;4421;02.03.2018;12;369
22;89128;1383800;23;1;5306;05.03.2018;6;885
23;54607;1402377;9;1;4121;11.03.2018;12;344
24;35815;1435957;21;1;5779;11.03.2018;12;482
25;8622;1435897;20;1;5437;13.03.2018;12;454
26;110194;1383793;23;1;4646;16.03.2018;12;388
27;66325;1500327;23;1;9148;23.03.2018;12;763
28;91892;1500327;20;1;9055;27.03.2018;6;1510
29;98458;1627062;20;1;4920;29.03.2018;6;820
30;14496;1494314;23;1;1588;01.04.2018;6;265
31;94066;1333355;20;1;4016;02.04.2018;6;670
32;72297;1383800;23;1;5112;16.04.2018;12;426
33;20032;1627062;2;1;4993;19.04.2018;12;417
34;109253;1318171;23;1;6717;19.04.2018;6;1120
35;59179;1333355;20;1;4081;23.04.2018;6;681
36;105724;1435897;19;1;5391;23.04.2018;6;899
37;94407;1683787;2;1;5292;24.04.2018;6;882
38;93294;1504686;20;1;5720;25.04.2018;12;477
39;56292;1333355;23;1;4118;30.04.2018;12;344
40;45054;1333355;23;1;4221;03.05.2018;12;352
41;51348;1435897;23;1;5278;03.05.2018;6;880
42;217;1342662;23;1;3558;03.05.2018;12;297
43;61673;1318171;2;1;7020;10.05.2018;12;585
44;71701;1370038;23;1;2562;26.05.2018;6;427
45;78979;1435957;21;1;5859;08.06.2018;6;977
46;11931;1435957;21;1;5977;09.06.2018;12;499
47;60788;1402377;9;1;3801;18.06.2018;12;317
48;7162;1435897;20;1;5147;25.06.2018;12;429
49;54202;1342641;23;1;3400;25.06.2018;6;567
50;1251;1370038;20;1;2473;25.06.2018;12;207
51;106064;1402377;23;1;3903;25.06.2018;12;326
52;62332;1383793;23;1;4291;26.06.2018;6;716
53;91930;1047390;23;1;3038;30.06.2018;12;254
54;53440;1494314;23;1;1574;05.07.2018;12;132
55;98715;1480783;20;1;2331;10.07.2018;12;195
56;61643;1464854;12;1;3551;10.07.2018;12;296
57;71412;1437820;2;1;2623;10.07.2018;6;438
58;108770;1333355;17;1;4233;10.07.2018;6;706
59;85081;1342641;23;1;3151;11.07.2018;12;263
60;85476;1464854;23;1;3658;12.07.2018;6;610
61;50701;1318171;18;1;6872;19.07.2018;6;1146
62;31723;1437820;23;1;2561;19.07.2018;6;427
63;46297;1318171;18;1;6954;20.07.2018;12;580
64;33691;1683787;2;1;5129;23.07.2018;12;428
65;102489;1500327;23;1;9332;23.07.2018;6;1556
66;76730;1047390;23;1;2857;25.07.2018;6;477
67;101844;1683787;2;1;5315;27.07.2018;12;443
68;17536;1464854;20;1;3959;02.08.2018;12;330
69;4972;1383800;20;1;5020;04.08.2018;6;837
70;46216;1627062;20;1;5096;04.08.2018;12;425
71;69125;1435957;21;1;5804;04.08.2018;12;484
72;55290;1342662;23;1;3236;07.08.2018;6;540
73;16882;1504686;17;1;5548;09.08.2018;6;925
74;19710;1627062;23;1;4672;09.08.2018;6;779
75;19256;1402377;23;1;4110;13.08.2018;12;343
76;72530;1318171;18;1;6744;17.08.2018;6;1124
77;94244;1435957;20;1;6113;26.08.2018;6;1019
78;46764;1382096;23;1;3257;28.08.2018;12;272
79;23642;1382096;20;1;3371;02.09.2018;6;562
80;9812;1318171;18;1;7018;12.09.2018;12;585
81;52286;1435897;19;1;5447;15.09.2018;12;454
82;46964;1435897;20;1;5517;19.09.2018;12;460
83;2959;1494314;9;1;1492;21.09.2018;12;125
84;103346;1627062;20;1;5057;22.09.2018;12;422
85;93507;1504686;20;1;5713;28.09.2018;6;953
86;19620;1500327;20;1;9234;28.09.2018;6;1539
87;66421;1683787;23;1;5391;05.10.2018;12;450
88;75654;1318171;2;1;6728;08.10.2018;12;561
89;16894;1500327;20;1;9358;08.10.2018;12;780
90;68056;1342662;23;1;3548;10.10.2018;6;592
91;99529;1627062;20;1;5110;18.10.2018;12;426
92;51071;1683787;2;1;5392;18.10.2018;6;899
93;65765;1494846;23;1;8982;23.10.2018;6;1497
94;80885;1437820;23;1;2662;25.10.2018;12;222
95;35295;1333355;23;1;4296;27.10.2018;12;358
96;20335;1683787;23;1;5326;29.10.2018;6;888
97;75275;1370038;9;1;2364;03.11.2018;12;197
98;30335;1435897;20;1;5061;04.11.2018;12;422
99;20533;1683787;20;1;5401;08.11.2018;12;451
100;62596;1342641;9;1;2973;08.11.2018;6;496
101;51424;1370038;12;1;2553;11.11.2018;6;426
102;16237;1435957;20;1;6005;13.11.2018;6;1001
103;44091;1627062;2;1;4902;20.11.2018;12;409
104;76850;1435957;23;1;5996;22.11.2018;6;1000
105;103264;1333355;9;1;3964;23.11.2018;12;331
106;109494;1333355;20;1;3903;27.11.2018;12;326
107;107604;1435897;23;1;5445;04.12.2018;12;454
108;103940;1464854;12;1;3676;07.12.2018;12;307
109;15662;1435897;19;1;5175;15.12.2018;12;432
110;11080;1402377;9;1;3880;16.12.2018;6;647
111;29561;1370038;9;1;2626;16.12.2018;12;219
112;57244;1494314;23;1;1187;17.12.2018;12;99
113;22491;1627062;23;1;4682;19.12.2018;12;391
114;22787;1383793;23;1;4643;25.12.2018;6;774
115;13487;1370038;20;1;2409;26.12.2018;12;201
116;26644;1435897;20;1;5231;05.01.2019;6;872
117;94450;1480783;9;1;2432;07.01.2019;12;203
118;96430;1464854;23;1;3851;08.01.2019;6;642
119;24502;1627062;2;1;5007;12.01.2019;6;835
120;93519;1318171;2;1;7024;13.01.2019;12;586
121;71562;1333355;20;1;4030;15.01.2019;6;672
122;35974;1342662;12;1;3398;18.01.2019;6;567
123;57950;1464854;23;1;3653;19.01.2019;12;305
124;54427;1437820;23;1;2809;22.01.2019;6;469
125;12662;1318171;18;1;7013;22.01.2019;6;1169
126;99133;1437820;23;1;2504;24.01.2019;12;209
127;107188;1435957;9;1;5799;24.01.2019;6;967
128;31716;1435897;19;1;5400;29.01.2019;6;900
129;67762;1435897;20;1;5261;31.01.2019;6;877
130;2296;1383800;23;1;5237;05.02.2019;6;873
131;19561;1435957;2;1;5799;07.02.2019;12;484
132;45728;1683787;20;1;5302;09.02.2019;12;442
133;109017;1342641;12;1;2998;15.02.2019;12;250
134;8391;1683787;20;1;5245;23.02.2019;6;875
135;3903;1383793;9;1;4497;24.02.2019;12;375
136;8683;1342662;12;1;3389;26.02.2019;6;565
